"","type","scenario","frag_mod","tempC","Q_outlet","kA_avg","kR_avg","C_StStock_gC_total","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","C_gw_gC","WS_bentic_area_m2","max_breakdown_daily","min_breakdown_daily","max_StStock_daily","min_StStock_daily","Jdate","WS_benthic_area_m2","det_max_range"
"1","Acer","ShalGW","M",17.5,6119.2688335191,0.0247204404047977,0.00855559236308513,16836021.3763634,699972.00661647,263190.335374579,65999.8957170047,197640.379555867,24661.6436391984,164348.992952441,281851.953846843,250004.478212706,17443293.8524671,16042380.5648156,365,164348.992952441,31847.4756341371
"2","Acer","DeepGW","M",16,6119.2688335191,0.0222665827084132,0.00718306420636827,17357087.55153,699972.00661647,259137.511137047,61246.3351401952,197995.814625124,24661.6436391984,164348.992952441,277789.380533674,246955.640893794,17900552.0159596,16683831.1456751,365,164348.992952441,30833.7396398801
"3","Acer","NoGW","M",22,6119.2688335191,0.0352783513910508,0.0154444291453142,17547183.5492824,699972.00661647,226984.271064269,46114.1670327595,182123.240093719,24661.6436391984,164348.992952441,241642.367065989,215628.385979189,18123474.7714334,16931509.0977729,365,164348.992952441,26013.9810868002
"4","Acer","NoGW_Warm","M",24,6119.2688335191,0.0416518485287882,0.0204270060325446,16752797.4479005,699972.00661647,246479.696655507,58643.6446270386,189250.809746096,24661.6436391984,164348.992952441,265166.158194241,235021.753405426,17340695.9566764,15960688.6283826,365,164348.992952441,30144.4047888146
"5","Acer","DeepGW_Warm","M",16.5,6119.2688335191,0.0230894401270792,0.00762542652035814,17139086.9399036,699972.00661647,264520.854612582,64916.5912456952,199604.263366887,24661.6436391984,164348.992952441,281895.738423556,251276.38992651,17704723.108369,16449788.4075717,365,164348.992952441,30619.3484970463
"6","Acer","ShalGW_Warm","M",19.5,6119.2688335191,0.0287702297383429,0.0110079288447278,15936480.8850876,699972.00661647,285593.727796606,82712.245279652,203413.905665908,24661.6436391984,164348.992952441,306520.639068356,271970.374125268,16660828.5662835,14957895.3268327,365,164348.992952441,34550.2649430881
"7","Rhodo","ShalGW","M",17.5,6119.2688335191,0.0247204404047977,0.00855559236308513,28904623.8747632,699972.00661647,131486.097561088,45619.0175855584,88992.649008087,24661.6436391984,164348.992952441,136560.374064419,126666.467326859,30136971.0690404,27347330.7948354,365,164348.992952441,9893.90673756017
"8","Rhodo","DeepGW","M",16,6119.2688335191,0.0222665827084132,0.00718306420636827,29839384.9263467,699972.00661647,122140.969853008,38307.8736208082,87244.1679265619,24661.6436391984,164348.992952441,122927.692744427,119744.346967672,30887394.7457671,28493598.89819,365,164348.992952441,3183.34577675513
"9","Rhodo","NoGW","M",22,6119.2688335191,0.0352783513910508,0.0154444291453142,27833702.1502429,699972.00661647,197400.830527293,94270.3178736488,110437.009702443,24661.6436391984,164348.992952441,221602.435005282,177686.726152333,29432919.4367216,26178431.5562535,365,164348.992952441,43915.7088529498
"10","Rhodo","NoGW_Warm","M",24,6119.2688335191,0.0416518485287882,0.0204270060325446,25540102.9549152,699972.00661647,196215.469538592,104254.412321682,103885.168154955,24661.6436391984,164348.992952441,226479.880763753,176688.31327019,26984736.139194,24150667.7210239,365,164348.992952441,49791.5674935629
"11","Rhodo","DeepGW_Warm","M",16.5,6119.2688335191,0.0230894401270792,0.00762542652035814,29057174.7837107,699972.00661647,122426.323827639,39902.1778931765,88464.977956551,24661.6436391984,164348.992952441,123198.698412449,120236.104830627,30218356.7372844,27675102.1964271,365,164348.992952441,2962.5935818211
"12","Rhodo","ShalGW_Warm","M",19.5,6119.2688335191,0.0287702297383429,0.0110079288447278,25844104.0866008,699972.00661647,131017.84655687,51502.6314203349,93548.8356541724,24661.6436391984,164348.992952441,136047.393296122,125082.737773855,27196480.4633962,24313527.8029256,365,164348.992952441,10964.6555222675
"13","Mixed","Base","M",18.0625,6119.2688335191,0.0258786840515876,0.00920739967933225,20980925.4088748,699972.00661647,215147.265098501,49372.4866639032,166347.863360283,24661.6436391984,164348.992952441,228069.478418157,205588.77806938,21783447.2460788,19895175.4491595,365,164348.992952441,22480.700348777
