"","type","scenario","season","C_breakdownTQ_gC","C_StStock_gC_total"
"1","Acer","ShalGW",1,256013.030910775,16725208.0927653
"2","Acer","ShalGW",2,107606.685923597,7839017.45469524
"3","Acer","ShalGW",3,63195.1551861971,3158485.05847775
"4","Acer","ShalGW",4,263190.335374579,16836021.3763634
"5","Acer","DeepGW",1,255623.084120357,17249750.2132299
"6","Acer","DeepGW",2,117873.144806068,7439105.47161125
"7","Acer","DeepGW",3,56781.3696588279,2723787.92052749
"8","Acer","DeepGW",4,259137.511137047,17357087.55153
"9","Acer","NoGW",1,221541.241638217,17505027.1084402
"10","Acer","NoGW",2,124902.118380004,9307842.6137982
"11","Acer","NoGW",3,77073.662087086,2659120.40520627
"12","Acer","NoGW",4,226984.271064269,17547183.5492824
"13","Acer","NoGW_Warm",1,239262.430433727,16673975.5235108
"14","Acer","NoGW_Warm",2,122233.4562009,8037177.51240414
"15","Acer","NoGW_Warm",3,67795.9507880521,1999510.35093751
"16","Acer","NoGW_Warm",4,246479.696655507,16752797.4479005
"17","Acer","DeepGW_Warm",1,260575.749358357,17021605.3240261
"18","Acer","DeepGW_Warm",2,116510.036126314,7122880.02448352
"19","Acer","DeepGW_Warm",3,55227.1297883495,2557117.03878635
"20","Acer","DeepGW_Warm",4,264520.854612582,17139086.9399036
"21","Acer","ShalGW_Warm",1,275869.897059604,15773229.9761863
"22","Acer","ShalGW_Warm",2,102635.013716306,6603411.72310393
"23","Acer","ShalGW_Warm",3,56955.2043101209,2470133.58058316
"24","Acer","ShalGW_Warm",4,285593.727796606,15936480.8850876
"25","Rhodo","ShalGW",1,107065.78377756,28904623.8747632
"26","Rhodo","ShalGW",2,122192.637154852,26119877.682473
"27","Rhodo","ShalGW",3,131486.097561088,19984430.6330142
"28","Rhodo","ShalGW",4,109290.750286636,27920003.2397874
"29","Rhodo","DeepGW",1,105255.739663333,29839384.9263467
"30","Rhodo","DeepGW",2,122140.969853008,26123207.7533249
"31","Rhodo","DeepGW",3,121970.965142787,18655572.761758
"32","Rhodo","DeepGW",4,105457.852775448,28935296.2129098
"33","Rhodo","NoGW",1,78215.7353594093,27833702.1502429
"34","Rhodo","NoGW",2,190691.183443778,26060239.6600371
"35","Rhodo","NoGW",3,197400.830527293,17053831.2724648
"36","Rhodo","NoGW",4,74946.9361876996,25880134.7790501
"37","Rhodo","NoGW_Warm",1,86337.1601165664,25540102.9549152
"38","Rhodo","NoGW_Warm",2,196215.469538592,23346417.6150365
"39","Rhodo","NoGW_Warm",3,195887.959182967,13477584.2966483
"40","Rhodo","NoGW_Warm",4,84824.5969645261,23859489.8400487
"41","Rhodo","DeepGW_Warm",1,108209.175727073,29057174.7837107
"42","Rhodo","DeepGW_Warm",2,122426.323827639,25204383.311449
"43","Rhodo","DeepGW_Warm",3,122009.624595585,17636677.2399562
"44","Rhodo","DeepGW_Warm",4,108429.408093284,28224663.8274079
"45","Rhodo","ShalGW_Warm",1,119715.350764708,25844104.0866008
"46","Rhodo","ShalGW_Warm",2,124479.117717511,22628338.5777308
"47","Rhodo","ShalGW_Warm",3,131017.84655687,16121106.612311
"48","Rhodo","ShalGW_Warm",4,122380.652989987,25166030.0900868
"49","Mixed","Base",1,210294.102318769,20952870.5405793
"50","Mixed","Base",2,105363.25521924,14124360.4112691
"51","Mixed","Base",3,84977.3288074134,8545245.09448224
"52","Mixed","Base",4,215147.265098501,20980925.4088748
