"","type","scenario","frag_mod","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","max_breakdown_daily","min_breakdown_daily","C_gw_gC"
"1","Acer","ShalGW","M",36214418.0257458,36195788.5388818,9347321.2090875,26848467.3297943,37994339.0815454,34396828.6118032,4127097.2041386
"2","Acer","DeepGW","M",36214418.0257458,36200422.2977021,9385247.87448312,26815174.423219,37986019.1555519,34415905.1095591,4127097.2041386
"3","Acer","NoGW","M",36214418.0257458,36203066.3136555,9344565.56623269,26858500.7474229,37893462.8344062,34529001.2673996,4127097.2041386
"4","Acer","NoGW_Warm","M",36214418.0257458,36207270.8414797,10447358.2842394,25759912.5572402,38053636.2993263,34362182.3093092,4127097.2041386
"5","Acer","DeepGW_Warm","M",36214418.0257458,36201881.4253633,9701429.68684653,26500451.7385167,37967897.2604583,34438810.9569839,4127097.2041386
"6","Acer","ShalGW_Warm","M",36214418.0257458,36201457.0031817,10667538.1748932,25533918.8282884,38028745.9276136,34374167.2522965,4127097.2041386
"7","Rhodo","ShalGW","M",36214418.0257458,34362839.1500909,8482286.91012586,25880552.2399651,35182708.723314,33605497.0896954,4127097.2041386
"8","Rhodo","DeepGW","M",36214418.0257458,34310438.3469289,8160227.31859356,26150211.0283353,35030476.3199381,33641907.5280224,4127097.2041386
"9","Rhodo","NoGW","M",36214418.0257458,35542271.1481261,11575668.1668521,23966602.981274,37598801.1300155,33337843.486889,4127097.2041386
"10","Rhodo","NoGW_Warm","M",36214418.0257458,35951771.2193801,13126843.1992107,22824928.0201694,38662516.2776499,33120447.7169989,4127097.2041386
"11","Rhodo","DeepGW_Warm","M",36214418.0257458,34591803.3863919,8612781.62992148,25979021.7564704,35349714.4259265,33857033.7443319,4127097.2041386
"12","Rhodo","ShalGW_Warm","M",36214418.0257458,35301978.0448958,10310482.7496345,24991495.2952613,36166567.9381396,34407827.2925789,4127097.2041386
"13","Mixed","Base","M",36214418.0257458,35590489.3792065,9228606.63316893,26361882.7460376,36686026.0774555,34529138.5920251,4127097.2041386
